Terms,co-occurrence_counts
around - folk,1
around - atlanta,2
around - state,1
around - goal,1
around - elimin,1
around - diet-rel,1
around - chronic,1
state - free,1
state - charg,1
state - folk,1
state - atlanta,1
state - around,1
state - goal,1
state - elimin,1
state - diet-rel,1
state - chronic,1
state - ill,1
goal - charg,1
goal - folk,1
goal - atlanta,1
goal - around,1
goal - state,1
goal - elimin,1
goal - diet-rel,1
goal - chronic,1
goal - ill,1
"goal - ,",6
elimin - folk,1
elimin - atlanta,1
elimin - around,1
elimin - state,1
elimin - goal,1
elimin - diet-rel,1
elimin - chronic,1
elimin - ill,1
"elimin - ,",5
elimin - oper,1
diet-rel - atlanta,1
diet-rel - around,1
diet-rel - state,1
diet-rel - goal,1
diet-rel - elimin,1
diet-rel - chronic,1
diet-rel - ill,1
"diet-rel - ,",1
diet-rel - oper,1
diet-rel - teach,1
chronic - around,1
chronic - state,1
chronic - goal,1
chronic - elimin,1
chronic - diet-rel,1
chronic - ill,1
"chronic - ,",4
chronic - oper,1
chronic - teach,1
chronic - kitchen,1
ill - state,1
ill - goal,1
ill - elimin,1
ill - diet-rel,1
ill - chronic,1
"ill - ,",1
ill - oper,1
ill - teach,1
ill - kitchen,1
ill - offer,1
", - goal",6
", - elimin",5
", - diet-rel",1
", - chronic",4
", - ill",1
", - oper",14
", - teach",11
", - kitchen",3
", - offer",45
oper - elimin,1
oper - diet-rel,1
oper - chronic,1
oper - ill,1
"oper - ,",14
oper - teach,1
oper - kitchen,1
oper - offer,1
oper - nutrit,1
oper - support,1
teach - diet-rel,1
teach - chronic,1
teach - ill,1
"teach - ,",11
teach - oper,1
teach - kitchen,1
teach - offer,1
teach - nutrit,1
teach - support,1
teach - .,10
kitchen - chronic,1
kitchen - ill,1
"kitchen - ,",3
kitchen - oper,1
kitchen - teach,1
kitchen - offer,1
kitchen - nutrit,1
kitchen - support,1
kitchen - .,3
kitchen - mariposa,1
offer - ill,1
"offer - ,",45
offer - oper,1
offer - teach,1
offer - kitchen,1
offer - nutrit,1
offer - support,2
offer - .,22
offer - mariposa,1
offer - rebeld,1
nutrit - oper,1
nutrit - teach,1
nutrit - kitchen,1
nutrit - offer,1
nutrit - support,1
nutrit - mariposa,1
nutrit - rebeld,1
nutrit - focu,1
support - oper,1
support - teach,1
support - kitchen,1
support - offer,2
support - nutrit,1
support - .,10
support - mariposa,1
support - rebeld,1
support - focu,1
support - build,3
. - teach,10
. - kitchen,3
. - offer,22
. - support,10
. - mariposa,1
. - rebeld,1
. - focu,10
. - build,15
mariposa - kitchen,1
mariposa - offer,1
mariposa - nutrit,1
mariposa - support,1
mariposa - .,1
mariposa - rebeld,2
mariposa - focu,1
mariposa - build,1
mariposa - access,1
mariposa - ecolog,1
rebeld - offer,1
rebeld - nutrit,1
rebeld - support,1
rebeld - .,1
rebeld - mariposa,2
rebeld - focu,1
rebeld - build,1
rebeld - access,1
rebeld - ecolog,1
rebeld - commun,1
focu - nutrit,1
focu - support,1
focu - .,10
focu - mariposa,1
focu - rebeld,1
focu - ecolog,1
focu - commun,2
focu - garden,1
build - support,3
build - .,15
build - mariposa,1
build - rebeld,1
build - ecolog,1
build - commun,2
build - garden,1
build - queer,1
access - mariposa,1
access - rebeld,1
access - ecolog,1
access - commun,2
access - garden,1
access - queer,1
access - folk,2
ecolog - mariposa,1
ecolog - rebeld,1
ecolog - focu,1
ecolog - build,1
ecolog - access,1
ecolog - commun,1
ecolog - garden,1
ecolog - queer,1
ecolog - folk,1
"ecolog - ,",1
commun - rebeld,1
commun - focu,2
commun - build,2
commun - access,2
commun - ecolog,1
commun - garden,2
commun - queer,1
commun - folk,1
commun - groceri,1
garden - focu,1
garden - build,1
garden - access,1
garden - ecolog,1
garden - commun,2
garden - queer,1
garden - folk,1
"garden - ,",12
garden - groceri,1
garden - spot,1
queer - build,1
queer - access,1
queer - ecolog,1
queer - commun,1
queer - garden,1
queer - folk,1
"queer - ,",1
queer - groceri,1
queer - spot,1
queer - exemplifi,1
